initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
6.5,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0080,1992,2169
6.5,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0085,2024,2200
6.5,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0090,2037,2206
6.5,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0095,2064,2220
6.5,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0100,2090,2241
6.5,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0105,2085,2235
6.5,0.0110,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0110,2104,2246
6.5,0.0115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0115,2128,2271
6.5,0.0120,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0120,2113,2241
6.5,0.0125,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0125,2130,2258
6.5,0.0130,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0130,2139,2261
6.5,0.0135,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0135,2160,2278
6.5,0.0140,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0140,2149,2261
6.5,0.0145,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0145,2187,2293
6.5,0.0150,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0150,2179,2284
6.5,0.0155,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0155,2185,2283
6.5,0.0160,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0160,2184,2267
6.5,0.0165,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0165,2206,2281
6.5,0.0170,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0170,2224,2287
6.5,0.0175,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0175,2219,2268
6.5,0.0180,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0180,2235,2272
6.5,0.0185,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0185,2251,2277
6.5,0.0190,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.5MSUN_z0.0190,2282,2295
7.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0015,1773,1970
7.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0020,1809,1958
7.0,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_7.0MSUN_z0.0025,1831,1989
