initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0045,6.0,2,1341716.9882818162,72771495.14635591,74113212.13463773,72771495.14635591,74113212.13463773,1341716.9882818162,1341716.9882818162,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0045
0.005,6.0,2,1474796.8996220827,73337571.87257619,74812368.77219827,73337571.87257619,74812368.77219827,1474796.8996220827,1474796.8996220827,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0050
0.0055,6.0,2,1591247.4014508575,73885190.06592724,75476437.4673781,73885190.06592724,75476437.4673781,1591247.4014508575,1591247.4014508575,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0055
0.006,6.0,2,1652362.9161005616,74414575.66024858,76066938.57634914,74414575.66024858,76066938.57634914,1652362.9161005616,1652362.9161005616,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0060
0.0065,6.0,2,1667252.030458048,74966034.63894293,76633286.66940098,74966034.63894293,76633286.66940098,1667252.030458048,1667252.030458048,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0065
0.007,6.0,2,1728323.8794199228,75515490.82616596,77243814.70558588,75515490.82616596,77243814.70558588,1728323.8794199228,1728323.8794199228,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0070
0.0075,6.0,2,1743794.496215716,76090187.82013148,77833982.3163472,76090187.82013148,77833982.3163472,1743794.496215716,1743794.496215716,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0075
0.008,6.0,2,1723127.3037838936,76668686.40902054,78391813.71280444,76668686.40902054,78391813.71280444,1723127.3037838936,1723127.3037838936,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0080
0.0085,6.0,2,1752820.8421213627,77255149.6591301,79007970.50125146,77255149.6591301,79007970.50125146,1752820.8421213627,1752820.8421213627,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0085
0.009,6.0,2,1752658.5531715006,77861760.76779987,79614419.32097137,77861760.76779987,79614419.32097137,1752658.5531715006,1752658.5531715006,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0090
0.0095,6.0,2,1759649.976250261,78447640.1059409,80207290.08219115,78447640.1059409,80207290.08219115,1759649.976250261,1759649.976250261,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0095
0.01,6.0,2,1711214.5083331019,79092575.34159075,80803789.84992385,79092575.34159075,80803789.84992385,1711214.5083331019,1711214.5083331019,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0100
0.0105,6.0,2,1736916.4658614546,79533769.06286533,81270685.52872679,79533769.06286533,81270685.52872679,1736916.4658614546,1736916.4658614546,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0105
0.011,6.0,2,1703861.1483767778,79980196.42058481,81684057.56896159,79980196.42058481,81684057.56896159,1703861.1483767778,1703861.1483767778,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0110
