initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
6.0,0.0140,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0140,2076.0,2273.0
6.0,0.0145,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0145,2085.0,2277.0
6.0,0.0150,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0150,2106.0,2305.0
6.0,0.0155,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0155,2123.0,2320.0
6.0,0.0160,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0160,2115.0,2317.0
6.0,0.0165,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0165,2137.0,2341.0
6.0,0.0170,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0170,2153.0,2357.0
6.0,0.0175,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0175,2155.0,2367.0
6.0,0.0180,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0180,2283.0,2496.0
6.0,0.0185,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0185,2283.0,2500.0
6.0,0.0190,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0190,2308.0,2524.0
6.0,0.0195,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0195,2322.0,2548.0
6.0,0.0200,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0200,2339.0,2588.0
6.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0015,1686.0,2033.0
6.5,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0020,1717.0,2002.0
6.5,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0025,1740.0,1989.0
6.5,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0030,1773.0,1966.0
6.5,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0035,1790.0,1960.0
6.5,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0040,1830.0,2001.0
6.5,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0045,1830.0,2002.0
6.5,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0050,1850.0,2017.0
6.5,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0055,1874.0,2023.0
6.5,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0060,1872.0,2073.0
6.5,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0065,1871.0,2089.0
6.5,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0070,1869.0,2103.0
6.5,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.5MSUN_z0.0075,1874.0,2117.0
