initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.004,5.5,1,2392014.2143384963,78404035.0025383,80796049.21687679,78404035.0025383,80796049.21687679,2392014.2143384963,2392014.2143384963,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0040
0.0045,5.5,1,2462266.0082853436,79273692.54436287,81735958.55264822,79273692.54436287,81735958.55264822,2462266.0082853436,2462266.0082853436,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0045
0.005,5.5,2,2588665.4667181075,80055151.83241583,82643817.29913394,80055151.83241583,82643817.29913394,2588665.4667181075,2588665.4667181075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0050
0.0055,5.5,2,2958207.6317221224,80638354.49789385,83596562.12961598,80638354.49789385,83596562.12961598,2958207.6317221224,2958207.6317221224,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0055
0.006,5.5,2,3316356.3055813015,81165313.34480877,84481669.65039007,81165313.34480877,84481669.65039007,3316356.3055813015,3316356.3055813015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0060
0.0065,5.5,2,3519454.0147602856,81680956.08717473,85200410.10193501,81680956.08717473,85200410.10193501,3519454.0147602856,3519454.0147602856,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0065
0.007,5.5,2,3799198.5039913356,82191979.46361527,85991177.9676066,82191979.46361527,85991177.9676066,3799198.5039913356,3799198.5039913356,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0070
0.0075,5.5,2,4122448.621506527,82700289.93888755,86822738.56039408,82700289.93888755,86822738.56039408,4122448.621506527,4122448.621506527,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0075
0.008,5.5,2,4379906.607160613,83244523.59870818,87624430.2058688,83244523.59870818,87624430.2058688,4379906.607160613,4379906.607160613,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0080
0.0085,5.5,2,4552652.200919941,83825066.75567152,88377718.95659146,83825066.75567152,88377718.95659146,4552652.200919941,4552652.200919941,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0085
0.009,5.5,2,4889244.202103272,84323638.54754241,89212882.74964568,84323638.54754241,89212882.74964568,4889244.202103272,4889244.202103272,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0090
0.0095,5.5,2,5018408.563507602,85009329.12903568,90027737.69254328,85009329.12903568,90027737.69254328,5018408.563507602,5018408.563507602,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0095
0.01,5.5,2,5207432.013893262,85620260.19878717,90827692.21268043,85620260.19878717,90827692.21268043,5207432.013893262,5207432.013893262,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0100
0.0105,5.5,2,5359981.764093772,86069444.41714977,91429426.18124354,86069444.41714977,91429426.18124354,5359981.764093772,5359981.764093772,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0105
0.011,5.5,2,5460892.915852651,86522022.7032124,91982915.61906505,86522022.7032124,91982915.61906505,5460892.915852651,5460892.915852651,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0110
0.0115,5.5,2,5600638.50396052,86947388.0054595,92548026.50942002,86947388.0054595,92548026.50942002,5600638.50396052,5600638.50396052,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0115
0.012,5.5,2,5790561.124598756,87363288.01770075,93153849.1422995,87363288.01770075,93153849.1422995,5790561.124598756,5790561.124598756,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0120
0.0125,5.5,2,5912681.851976454,87837196.34607568,93749878.19805214,87837196.34607568,93749878.19805214,5912681.851976454,5912681.851976454,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0125
0.013,5.5,2,5922482.00110589,88370685.95755832,94293167.95866421,88370685.95755832,94293167.95866421,5922482.00110589,5922482.00110589,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0130
0.0135,5.5,2,6004084.831026405,88876168.07708307,94880252.90810947,88876168.07708307,94880252.90810947,6004084.831026405,6004084.831026405,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0135
